DATE,units
5/7/2014,6
5/20/2014,8
6/9/2014,10
6/22/2014,7
12/5/2014,6
1/4/2015,7
1/17/2015,7
2/7/2015,6
3/9/2015,10
3/18/2015,8
3/28/2015,6
3/30/2015,7
4/12/2015,6
4/13/2015,6
4/26/2015,7
4/28/2015,7
4/29/2015,7
5/6/2015,8
5/21/2015,8
6/8/2015,11
6/18/2015,12
7/14/2015,7
7/28/2015,6
8/3/2015,8
8/9/2015,7
8/12/2015,6
8/17/2015,6
8/19/2015,7
8/24/2015,8
8/26/2015,6
9/4/2015,8
9/16/2015,7
9/21/2015,6
11/2/2015,8
11/3/2015,8
11/4/2015,6
11/5/2015,7
12/7/2015,8
12/21/2015,7
